dist,n,delta,test,power
Normal,20,0.0,Welch t-test,0.0493
Normal,20,0.0,Wilcoxon Rank-Sum Test,0.0487
Normal,20,0.2,Welch t-test,0.0931
Normal,20,0.2,Wilcoxon Rank-Sum Test,0.0879
Normal,20,0.5,Welch t-test,0.3427
Normal,20,0.5,Wilcoxon Rank-Sum Test,0.3261
Normal,20,1.0,Welch t-test,0.8635
Normal,20,1.0,Wilcoxon Rank-Sum Test,0.8437
Normal,50,0.0,Welch t-test,0.0485
Normal,50,0.0,Wilcoxon Rank-Sum Test,0.0473
Normal,50,0.2,Welch t-test,0.166
Normal,50,0.2,Wilcoxon Rank-Sum Test,0.1612
Normal,50,0.5,Welch t-test,0.7027
Normal,50,0.5,Wilcoxon Rank-Sum Test,0.6763
Normal,50,1.0,Welch t-test,0.9988
Normal,50,1.0,Wilcoxon Rank-Sum Test,0.9984
Normal,100,0.0,Welch t-test,0.0532
Normal,100,0.0,Wilcoxon Rank-Sum Test,0.0528
Normal,100,0.2,Welch t-test,0.2906
Normal,100,0.2,Wilcoxon Rank-Sum Test,0.278
Normal,100,0.5,Welch t-test,0.9397
Normal,100,0.5,Wilcoxon Rank-Sum Test,0.9303
Normal,100,1.0,Welch t-test,1.0
Normal,100,1.0,Wilcoxon Rank-Sum Test,1.0
Right-skewed,20,0.0,Welch t-test,0.046
Right-skewed,20,0.0,Wilcoxon Rank-Sum Test,0.0522
Right-skewed,20,0.2,Welch t-test,0.0981
Right-skewed,20,0.2,Wilcoxon Rank-Sum Test,0.163
Right-skewed,20,0.5,Welch t-test,0.3711
Right-skewed,20,0.5,Wilcoxon Rank-Sum Test,0.5836
Right-skewed,20,1.0,Welch t-test,0.8589
Right-skewed,20,1.0,Wilcoxon Rank-Sum Test,0.9596
Right-skewed,50,0.0,Welch t-test,0.0476
Right-skewed,50,0.0,Wilcoxon Rank-Sum Test,0.053
Right-skewed,50,0.2,Welch t-test,0.1758
Right-skewed,50,0.2,Wilcoxon Rank-Sum Test,0.3525
Right-skewed,50,0.5,Welch t-test,0.7055
Right-skewed,50,0.5,Wilcoxon Rank-Sum Test,0.9351
Right-skewed,50,1.0,Welch t-test,0.9968
Right-skewed,50,1.0,Wilcoxon Rank-Sum Test,1.0
Right-skewed,100,0.0,Welch t-test,0.0508
Right-skewed,100,0.0,Wilcoxon Rank-Sum Test,0.0496
Right-skewed,100,0.2,Welch t-test,0.2923
Right-skewed,100,0.2,Wilcoxon Rank-Sum Test,0.599
Right-skewed,100,0.5,Welch t-test,0.9346
Right-skewed,100,0.5,Wilcoxon Rank-Sum Test,0.999
Right-skewed,100,1.0,Welch t-test,1.0
Right-skewed,100,1.0,Wilcoxon Rank-Sum Test,1.0
Heavy-tailed,20,0.0,Welch t-test,0.0462
Heavy-tailed,20,0.0,Wilcoxon Rank-Sum Test,0.0512
Heavy-tailed,20,0.2,Welch t-test,0.0645
Heavy-tailed,20,0.2,Wilcoxon Rank-Sum Test,0.0758
Heavy-tailed,20,0.5,Welch t-test,0.1769
Heavy-tailed,20,0.5,Wilcoxon Rank-Sum Test,0.2281
Heavy-tailed,20,1.0,Welch t-test,0.5174
Heavy-tailed,20,1.0,Wilcoxon Rank-Sum Test,0.6572
Heavy-tailed,50,0.0,Welch t-test,0.0482
Heavy-tailed,50,0.0,Wilcoxon Rank-Sum Test,0.0483
Heavy-tailed,50,0.2,Welch t-test,0.0986
Heavy-tailed,50,0.2,Wilcoxon Rank-Sum Test,0.1282
Heavy-tailed,50,0.5,Welch t-test,0.3455
Heavy-tailed,50,0.5,Wilcoxon Rank-Sum Test,0.4945
Heavy-tailed,50,1.0,Welch t-test,0.845
Heavy-tailed,50,1.0,Wilcoxon Rank-Sum Test,0.9653
Heavy-tailed,100,0.0,Welch t-test,0.0452
Heavy-tailed,100,0.0,Wilcoxon Rank-Sum Test,0.0458
Heavy-tailed,100,0.2,Welch t-test,0.1419
Heavy-tailed,100,0.2,Wilcoxon Rank-Sum Test,0.2067
Heavy-tailed,100,0.5,Welch t-test,0.5719
Heavy-tailed,100,0.5,Wilcoxon Rank-Sum Test,0.7901
Heavy-tailed,100,1.0,Welch t-test,0.9739
Heavy-tailed,100,1.0,Wilcoxon Rank-Sum Test,0.9997
Uniform,20,0.0,Welch t-test,0.0489
Uniform,20,0.0,Wilcoxon Rank-Sum Test,0.0477
Uniform,20,0.2,Welch t-test,0.5613
Uniform,20,0.2,Wilcoxon Rank-Sum Test,0.5106
Uniform,20,0.5,Welch t-test,0.9999
Uniform,20,0.5,Wilcoxon Rank-Sum Test,0.9988
Uniform,20,1.0,Welch t-test,1.0
Uniform,20,1.0,Wilcoxon Rank-Sum Test,1.0
Uniform,50,0.0,Welch t-test,0.0482
Uniform,50,0.0,Wilcoxon Rank-Sum Test,0.0468
Uniform,50,0.2,Welch t-test,0.9288
Uniform,50,0.2,Wilcoxon Rank-Sum Test,0.889
Uniform,50,0.5,Welch t-test,1.0
Uniform,50,0.5,Wilcoxon Rank-Sum Test,1.0
Uniform,50,1.0,Welch t-test,1.0
Uniform,50,1.0,Wilcoxon Rank-Sum Test,1.0
Uniform,100,0.0,Welch t-test,0.0454
Uniform,100,0.0,Wilcoxon Rank-Sum Test,0.0455
Uniform,100,0.2,Welch t-test,0.9987
Uniform,100,0.2,Wilcoxon Rank-Sum Test,0.9959
Uniform,100,0.5,Welch t-test,1.0
Uniform,100,0.5,Wilcoxon Rank-Sum Test,1.0
Uniform,100,1.0,Welch t-test,1.0
Uniform,100,1.0,Wilcoxon Rank-Sum Test,1.0
